"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","205.174.165.80","192.168.1.104","TCP","314","80  >  58133 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=248 TSval=573623405 TSecr=3513749004"
"2","0.000001","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=249 Ack=1 Win=21 Len=1448 TSval=573623405 TSecr=3513749004"
"3","0.000002","205.174.165.80","192.168.1.104","TCP","1514","[TCP Previous segment not captured] 80  >  58133 [ACK] Seq=4345 Ack=1 Win=21 Len=1448 TSval=573623405 TSecr=3513749004"
"4","0.000002","205.174.165.80","192.168.1.104","TCP","314","[TCP Previous segment not captured] 80  >  58133 [PSH, ACK] Seq=10137 Ack=1 Win=21 Len=248 TSval=573623405 TSecr=3513749004"
"5","0.000148","192.168.1.104","205.174.165.80","TCP","86","58133  >  80 [ACK] Seq=1 Ack=1697 Win=3401 Len=0 TSval=3513749210 TSecr=573623405 SLE=10137 SRE=10385 SLE=4345 SRE=5793"
"6","0.014699","205.174.165.80","192.168.1.104","TCP","1514","[TCP Retransmission] 80  >  58133 [ACK] Seq=1697 Ack=1 Win=21 Len=1448 TSval=573623430 TSecr=3513749210"
"7","0.014887","192.168.1.104","205.174.165.80","TCP","86","58133  >  80 [ACK] Seq=1 Ack=3145 Win=3405 Len=0 TSval=3513749225 TSecr=573623430 SLE=10137 SRE=10385 SLE=4345 SRE=5793"
"8","0.016490","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=1 Ack=1 Win=188 Len=1448 TSval=573623434 TSecr=4053446943 [TCP segment of a reassembled PDU]"
"9","0.016492","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"10","0.016664","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=2636 Win=2006 Len=0 TSval=4053446975 TSecr=573623434"
"11","0.018694","205.174.165.80","192.168.1.104","TCP","1266","[TCP Retransmission] 80  >  58133 [PSH, ACK] Seq=3145 Ack=1 Win=21 Len=1200 TSval=573623437 TSecr=3513749225"
"12","0.018695","205.174.165.80","192.168.1.104","TCP","1514","[TCP Retransmission] 80  >  58133 [ACK] Seq=5793 Ack=1 Win=21 Len=1448 TSval=573623437 TSecr=3513749225"
"13","0.018889","192.168.1.104","205.174.165.80","TCP","78","58133  >  80 [ACK] Seq=1 Ack=7241 Win=3428 Len=0 TSval=3513749229 TSecr=573623437 SLE=10137 SRE=10385"
"14","0.022747","205.174.165.80","192.168.1.104","TCP","1514","[TCP Retransmission] 80  >  58133 [ACK] Seq=7241 Ack=1 Win=21 Len=1448 TSval=573623440 TSecr=3513749229"
"15","0.022749","205.174.165.80","192.168.1.104","TCP","1514","[TCP Retransmission] 80  >  58133 [PSH, ACK] Seq=8689 Ack=1 Win=21 Len=1448 TSval=573623440 TSecr=3513749229"
"16","0.022961","192.168.1.104","205.174.165.80","TCP","66","58133  >  80 [ACK] Seq=1 Ack=10385 Win=3428 Len=0 TSval=3513749233 TSecr=573623440"
"17","0.033128","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=1 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"18","0.033130","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=1449 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"19","0.033131","205.174.165.80","192.168.1.104","TCP","1266","80  >  58138 [PSH, ACK] Seq=2897 Ack=1 Win=21 Len=1200 TSval=573623450 TSecr=651956003"
"20","0.033133","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=4097 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"21","0.033134","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=5545 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"22","0.033135","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=6993 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"23","0.033297","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=8441 Win=3677 Len=0 TSval=651956042 TSecr=573623450"
"24","0.034624","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=8441 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"25","0.034626","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [PSH, ACK] Seq=9889 Ack=1 Win=21 Len=1448 TSval=573623450 TSecr=651956003"
"26","0.034628","205.174.165.80","192.168.1.104","TCP","314","80  >  58138 [PSH, ACK] Seq=11337 Ack=1 Win=21 Len=248 TSval=573623450 TSecr=651956003"
"27","0.034628","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [PSH, ACK] Seq=11585 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"28","0.034630","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=13033 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"29","0.034631","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=14481 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"30","0.034632","205.174.165.80","192.168.1.104","TCP","1266","80  >  58138 [PSH, ACK] Seq=15929 Ack=1 Win=21 Len=1200 TSval=573623451 TSecr=651956003"
